"cnpj","nome_coop","auditorIndependente","data_coleta","mudou_auditor","situacao","uf","endereco_eletronico","segmento_prudencial","numeroAgencias","Ativo_Total","Patrimonio_Liquido","Despesas_Operacionais","Sobras","regiao","municipio","classe","criterio_de_associacao","categ_coop_sing","filiacao","big_four","Receitas_Operacionais","PECLD","data_inicio_atividades","idade_em_2022","total_de_cooperados","cooperados_pf","cooperados_pj"
5790149,"CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO - CECOOP","MOORE PRISMA AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","ES","www.cecoop.com.br","S4",0,577843270,106841099,-144941515,NA,"Sudeste","VITORIA","Central",NA,NA,NA,0,140941515,NA,2003-07-17,19,NA,NA,NA
309024,"CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE","AUDSERVICE-AUDITORES ASSOCIADOS S/C","10/2021",0,"Autorizada em Atividade","MG","www.cecremge.org.br","S4",0,972721594887,28976465231,-7964209117,327608050,"Sudeste","BELO HORIZONTE","Central",NA,NA,NA,0,8250858860,-228434660,1994-11-22,28,NA,NA,NA
1634601,"CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","RS","www.unicred-rs.com.br","S4",0,211132462184,10205121563,-3386032690,NA,"Sul","PORTO ALEGRE","Central",NA,NA,"CONF NAC COOP CENTRAIS UNICRED",1,3405587104,-2151399,1996-09-14,26,NA,NA,NA
10398952,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA - CRESOL CONFEDERAÇÃO","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","SC","www.cresolconfederacao.com.br","S4",0,63651483486,1845401051,-4468088845,40287195,"Sul","FLORIANOPOLIS","Confederação",NA,NA,NA,1,4511774559,-520000,2008-09-09,14,NA,NA,NA
315557,"CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","SP","www.unicred.com.br","S4",1,121489979061,6365051889,-6720928561,739196642,"Sudeste","SAO PAULO","Confederação",NA,NA,NA,1,6217194681,NA,1994-11-23,28,NA,NA,NA
44469161,"COOPECREDI GUARIBA - COOPERATIVA DE CREDITO","MOORE PRISMA AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","SP","www.coopecredi.com.br","S4",8,409568531402,33942036203,-2824475786,1576999514,"Sudeste","GUARIBA","Singular","Livre Admissão","Plena","CCC DO ESTADO DE SÃO PAULO",0,3979897881,-819803230,1976-01-12,46,8665,6485,2180
88325113,"COOPERATIVA    DE    ECONOMIA    E    CRÉDITO   MÚTUO  MINUANO","LINEAR AUDITORES INDEPENDENTES SOCIEDADE SIMPLES","10/2021",0,"Autorizada em Atividade","RS","www.cooperativaminuano.com.br","S5",5,4026025997,1571647844,-143743888,2684649,"Sul","CANOAS","Singular","Empregados ou Servidores","Clássica",NA,0,160388233,-26426486,1984-01-31,38,2198,2195,3
21198087,"COOPERATIVA CENTRAL DE CREDITO RURAL COM INTERAÇÃO SOLIDÁRIA   CENTRAL CRESOL SICOPER","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","RS","www.cresolsicoper.com.br","S4",0,181678035998,4476325222,-4112391004,131400598,"Sul","PASSO FUNDO","Central",NA,NA,"CRESOL CONFEDERAÇÃO",1,4090090406,-1603900,2014-10-09,8,NA,NA,NA
5463212,"COOPERATIVA CENTRAL DE CRÉDITO - AILOS","ERNST & YOUNG AUDITORES INDEPENDENTES S/S","10/2021",0,"Autorizada em Atividade","SC","http://www.ailos.coop.br/","S4",0,622398959372,42740148565,-14250288359,NA,"Sul","BLUMENAU","Central",NA,NA,NA,1,14250288359,-257893763,2002-12-04,20,NA,NA,NA
1401771,"COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","PR","www.cresol.com.br","S4",0,910072749213,20842598092,-13157682085,892196889,"Sul","FRANCISCO BELTRAO","Central",NA,NA,"CRESOL CONFEDERAÇÃO",1,12791514118,-59458202,1996-08-30,26,NA,NA,NA
10013534,"COOPERATIVA CENTRAL DE CRÉDITO DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDÁRIA - ASCOOB CENTRAL","IDERALDO LUIZ AGOSTINHO DE MORAES","10/2021",0,"Autorizada em Atividade","BA","www.sistemaascoob.com.br","S4",0,8845125827,266220783,-173524645,-16202770,"Nordeste","SERRINHA","Central",NA,NA,"CRESOL CONFEDERAÇÃO",0,190928230,-319138,2008-07-03,14,NA,NA,NA
34148882,"COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA LTDA  SICOOB CENTRAL BA","BAUER AUDITORES ASSOCIADOS","10/2021",0,"Autorizada em Atividade","BA","www.sicoob-ba.com.br","S4",0,86654247244,7465107694,-1278389180,215021089,"Nordeste","SALVADOR","Central",NA,NA,NA,0,1319938555,-11382609,1989-09-05,33,NA,NA,NA
25683434,"COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS","PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES","10/2021",0,"Autorizada em Atividade","MG","http://www.sicoobcrediminas.com.br/","S4",1,1277328994646,59902195509,-12868001900,1429468756,"Sudeste","BELO HORIZONTE","Central",NA,NA,NA,1,13705918222,-44887769,1989-03-06,33,NA,NA,NA
